Driver,DriverNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector2SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,FastF1Generated,IsAccurate,RaceName,Year,Pitted,CompoundEncoded,LapTimeDelta,LapTimeRolling3,DegradationFromStintStart,TotalLaps,RacePctComplete,LapsRemaining,IsLateRace
ALB,23,-1.1606040559995905,0.13591563617403837,0.6853346697478889,1.5944881678628628,-1.7266488012619292,0.5426594413385952,0.6017650360710107,-1.6762042408875453,-0.24099319994316235,False,MEDIUM,-1.2420588126440022,False,Williams,1,1.2994995229985702,False,False,Abu Dhabi,2023,0,-0.6485936282958183,0.11330738755663967,0.8710840094656076,0.9905054966671656,-0.3833897410864518,-1.683151359145084,1.4295762730270314,0
ALB,23,-1.1606040559995905,-1.4340256785306158,0.5727701033590304,1.5590249091613684,-1.6700661310984661,0.5200638288308368,1.166433746457424,-1.7736144623951862,0.9623992412554351,True,MEDIUM,-1.1460870876197233,False,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,-0.6485936282958183,-1.141469323226046,0.5391080020832564,0.2606562233161955,-0.3833897410864518,-1.6227799830552663,1.3749090294589712,0
ALB,23,-1.1606040559995905,-1.481794886785066,0.4313879256230241,1.4707652259885464,-1.6143130071502796,0.6104462788618705,0.9709715005544348,-1.8060845362310665,1.2030777294951547,True,MEDIUM,-1.0501153625954445,False,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,-0.6485936282958183,-0.20096646665787263,0.37231335699645823,0.07553380323906318,-0.3833897410864518,-1.5624086069654488,1.3202417858909112,0
ALB,23,-1.1606040559995905,-1.4709525335957336,0.4177232366743768,1.4418766163721595,-1.5588470803247292,0.5426594413385952,0.8406633366191086,-1.8385546100669468,1.443756217734874,True,MEDIUM,-0.9541436375711655,False,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.08708817270446315,0.08931536212104856,0.05724883205956897,-0.3833897410864518,-1.5020372308756311,1.2655745423228513,0
ALB,23,-1.1606040559995905,-1.4791235823761002,0.4335526288228106,1.3952563774050248,-1.5034295235408857,0.5200638288308368,1.2967419103927502,-1.871024683902827,1.2833038922417277,True,MEDIUM,-0.8581719125468866,False,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.08851506875084178,0.02234063187490899,0.0397903002554201,-0.3833897410864518,-1.4416658547858137,1.2109072987547913,0
ALB,23,-1.1606040559995905,-1.4648242470104587,0.4331467469728507,1.3914709733863264,-1.4481002420831584,0.5200638288308368,0.862381363941663,-1.871024683902827,1.0827384853752948,False,MEDIUM,-0.7622001875226077,False,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.13096522613055447,0.013663363269586325,0.04691833986776531,-0.3833897410864518,-1.3812944786959962,1.1562400551867311,0
ALB,23,-1.1606040559995905,-1.4898088000119643,0.46399376756979677,1.36716469495047,-1.3927407293493634,0.5426594413385952,0.797227281974,-1.871024683902827,1.1228515667485814,False,MEDIUM,-0.6662284624983288,False,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.10920506142330677,0.008870503715021412,0.04144317900610934,-0.3833897410864518,-1.3209231026061785,1.1015728116186712,0
ALB,23,-1.1606040559995905,-1.499865475433954,0.5034996009658868,1.3500307609710964,-1.3373171263103065,0.5652550538463537,0.9058174185867717,-1.8385546100669468,0.7217207530157156,False,MEDIUM,-0.5702567374740498,False,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.1439856525537425,0.01381999266679418,0.056112477918470946,-0.3833897410864518,-1.260551726516361,1.0469055680506112,0
ALB,23,-1.1606040559995905,-1.5036367287171997,0.4976819611164626,1.3761301255210732,-1.2819860309760147,0.5200638288308368,0.862381363941663,-1.8060845362310665,0.6013815088958558,False,MEDIUM,-0.4742850124497709,False,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.13007341610156972,0.01861285222136043,0.0627239929212264,-0.3833897410864518,-1.2001803504265436,0.9922383244825511,0
ALB,23,-1.1606040559995905,-1.48808030892381,0.4976819611164626,1.422949596278665,-1.2265158717718154,0.4974682163230784,0.927535445909326,-1.871024683902827,0.6013815088958558,False,MEDIUM,-0.378313287425492,False,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,-0.6485936282958183,0.17823115766678685,0.03552882711982216,0.09722783684185146,-0.3833897410864518,-1.139808974336726,0.937571080914491,0
